,euclidean_distance,hdf5_idx
355,528.27,11215
356,528.04,14023
357,527.14,7820
358,526.73,15490
359,525.61,2659
360,525.61,7253
361,525.45,13570
362,525.38,6633
363,525.07,18332
364,525.07,18349
365,525.05,13823
366,524.45,13061
367,523.41,5849
368,523.13,13849
369,522.98,6485
370,522.41,15583
371,522.26,10458
372,522.0,11497
373,521.32,3964
374,520.88,8910
375,520.64,6394
376,520.46,4282
377,520.25,5239
378,520.25,8684
379,520.21,12411
380,520.04,13788
381,519.94,7617
382,518.98,11756
383,518.67,5203
384,518.61,11638
385,518.52,11416
386,518.46,3878
387,517.55,18910
388,517.33,7949
389,517.2,13886
390,516.61,16488
391,516.23,7147
392,516.17,1772
393,515.3,6648
394,515.17,4083
395,515.03,17368
396,514.7,13304
397,513.96,5852
398,513.57,10761
399,513.43,14468
400,513.39,15686
401,513.09,10405
402,512.98,4872
403,512.95,6308
404,512.75,1184
405,512.59,1574
406,512.5,7059
407,512.37,11664
408,511.91,11755
409,511.78,18462
410,511.78,18799
411,511.46,10063
412,511.06,629
413,510.89,17418
414,510.83,1876
415,510.43,4155
416,510.0,9499
417,509.38,10934
418,509.33,14171
419,509.25,7117
420,509.12,839
421,509.12,17676
422,509.09,4907
423,509.01,6840
424,508.96,2199
425,508.89,6609
426,508.58,5621
427,508.42,7023
428,508.38,90
429,508.05,12024
430,507.96,14306
431,507.92,17782
432,507.44,1709
433,507.21,12109
434,507.16,12712
435,506.46,7970
436,506.2,2912
437,506.16,868
438,505.79,16044
439,505.68,15015
440,505.56,8950
441,504.86,2631
442,504.42,13150
443,503.92,16974
444,503.69,11421
445,502.84,9059
446,502.57,3164
447,501.9,1150
448,501.88,1102
449,501.21,17371
450,501.14,18858
451,501.11,11137
452,500.85,13375
453,500.34,6669
454,500.12,16277
455,499.96,7539
456,499.39,14634
457,499.37,9981
458,499.02,156
459,498.97,10372
460,498.65,16767
461,498.51,16585
462,498.28,6747
463,498.14,6676
464,498.12,18037
465,497.97,15260
466,497.54,12982
467,497.53,13972
468,497.31,8011
469,496.72,17180
470,496.65,18564
471,496.4,8761
472,495.88,12927
473,495.54,12941
474,495.28,1394
475,494.88,2970
476,494.55,2212
477,494.49,5607
478,494.4,2183
479,494.23,12852
480,494.14,1891
481,493.94,18316
482,493.73,6570
483,493.52,13148
484,493.27,12633
485,493.2,2937
486,493.18,7513
487,493.16,6342
488,492.84,13432
489,492.31,4816
490,490.89,16928
491,490.51,3440
492,490.23,7740
493,489.95,17733
494,489.74,8414
495,489.37,683
496,489.32,17652
497,488.87,15955
498,488.49,17106
499,488.48,34
500,488.48,14312
501,488.3,8487
502,487.62,11694
503,487.39,1645
504,487.25,13588
505,487.04,17235
506,486.91,2458
507,486.63,12267
508,485.96,559
509,485.83,17281
510,485.64,2047
511,485.55,16824
512,485.48,3151
513,485.28,14888
514,485.08,17269
515,484.87,6197
516,483.84,5090
517,483.55,15969
518,483.49,762
519,482.8,1666
520,482.65,31
521,482.52,12997
522,482.5,15844
523,482.15,9281
524,482.09,712
525,482.07,5347
526,481.97,6454
527,481.97,16729
528,481.35,12258
529,481.12,6154
530,481.0,7717
531,480.91,1013
532,480.37,15387
533,480.19,13702
534,480.18,3592
535,480.15,17464
536,480.07,5462
537,479.52,6010
538,479.08,17629
539,478.89,13350
540,478.58,9457
541,478.52,5280
542,478.18,7234
543,478.05,2742
544,477.94,10344
545,477.62,147
546,477.61,10429
547,477.56,2844
548,476.75,7595
549,476.66,5036
550,476.48,468
551,476.48,4819
552,476.14,6430
553,475.96,18595
554,475.05,7116
555,474.98,1509
556,474.89,876
557,474.84,14545
558,474.7,16778
559,474.59,6474
560,474.44,12527
561,474.14,6623
562,474.04,209
563,474.03,8682
564,473.99,3692
565,473.94,17639
566,473.69,3264
567,473.65,18105
568,473.48,16411
569,473.19,48
570,473.03,18416
571,472.86,10850
572,472.8,444
573,472.28,11450
574,472.18,14693
575,471.4,6535
576,471.37,11430
577,471.34,12749
578,471.15,3127
579,471.1,4459
580,471.08,15915
581,471.02,9215
582,470.99,3438
583,470.9,14361
584,470.79,17610
585,470.58,9617
586,470.42,16789
587,470.22,13287
588,470.1,6613
589,469.76,544
590,469.64,1508
591,469.37,160
592,469.12,7354
593,469.02,14099
594,468.87,7419
595,468.86,2380
596,468.75,13643
597,468.67,16415
598,468.29,348
599,468.26,13766
600,467.84,7402
601,467.77,18765
602,467.6,1533
603,467.56,5617
604,467.5,15376
605,467.39,12259
606,467.19,3009
607,466.93,9686
608,466.86,18203
609,466.78,5590
610,466.71,14820
611,466.33,14253
612,466.23,14236
613,466.03,3734
614,465.85,11924
615,465.78,11315
616,465.73,9813
617,465.51,17211
618,465.46,15555
619,465.39,7142
620,465.34,13644
621,465.31,1799
622,464.81,8602
623,464.79,13073
624,464.62,145
625,464.53,2376
626,464.38,9989
627,464.28,16323
628,464.07,18477
629,464.05,15403
630,463.89,3582
631,463.54,10292
632,463.51,10637
633,463.39,1783
634,463.27,13388
635,463.08,8304
636,463.0,81
637,462.22,18048
638,462.19,18348
639,462.0,13210
640,461.93,3285
641,461.8,295
642,461.42,16973
